67,54,pli,54,SULAWESI-SOUTH EAST COAST
68,55,pli,55,SULAWESI-SOUTHEAST COAST
69,56,pli,56R2#56R1,PELABUHAN KOBA DAN ALUR PELAYARAN SEBELAH TIMUR#PELABUHAN SUNGAILIAT
70,57,pli,57#57R1#57R2,KALIMANTAN-PANTAI TIMUR
71,58,pli,58,KALIMANTAN-PANTAI TIMUR
72,59,pli,59,KALIMANTAN-EAST COAST
73,59A,pli,59A,KALIMANTAN-PANTAI TIMUR
74,59B,pli,59B,KALIMANTAN-PANTAI TIMUR
75,60,pli,60R1#60,TELUK KLABAT#SUMATERA-EAST COAST
76,61,pli,61,PULAU BANGKA
77,62,pli,62R15#62R14#62R1#62R2#62R3#62R4#62R5#62R7#62R8#62R9#62R10#62R11#62R12#62R13#62R6#62,TELUK WORI#TELUK KORAKORA#TELUK DOMISIL#PALELEH AND LINTIDU HARBOUR#LOKODIDI AND TELUK LUOKODOKA#TELUK PINJANG#TELUK BUSAK#TALISEI HARBOUR#LINGADAN HARBOUR AND TELUK BELONLIOH#LIKUPANG HARBOUR#TELUK HIMANA#TELUK LABUHAN BROKO#TELUK BOLAANGUKI#KEMA HARBOUR#SUMALATA HARBOUR#SULAWESI NORTH COAST
78,63,pli,63,SELAT GELASA
79,64,pli,64R1#64R2#64,PULAU BELITUNG-WEST COAST
80,65,pli,65R1#65R2#65,SELAT KIJANG
81,66,pli,66,LAUT JAWA
82,67,pli,67R1#67,PELABUHAN TANJUNGBARA#KALIMANTAN-PANTAI TIMUR
83,68,pli,68,JAWA WEST PART
84,69,pli,69,JAWA
85,70,pli,70,JAWA EAST PART
86,70A,pli,70A,PULAU BAWEAN TO PULAU BALI
87,71,pli,71R1#71R2#71R3#71,SUMATERA-SOUTH COAST
88,71A,pli,71A,JAWA PANTAI BARAT
89,72,pli,72,SUMATERA-WEST COAST
90,73,pli,73R3#73R4#73R5#73R1#73R2,PULAU-PULAU BATU
91,74,pli,74,SUMATERA-PANTAI BARAT
92,75,pli,75R2#75R1,SUMATERA-PANTAI BARAT
93,76,pli,76,SUMATERA-PANTAI BARAT
94,77,pli,77,SUMATERA-PANTAI BARAT
95,78,pli,78,JAWA-NORTH COAST
96,79,pli,79R1#79R3#79#79R2,KARANG KARANG SEDULANG#PULAU BIAWAK#JAWA NORTH COAST
97,80,pli,80,JAWA-PANTAI UTARA
98,81,pli,81R1#81,TANJUNG BONANG HARBOUR
99,81A,pli,81A,JAWA-NORTH COAST
100,81B,pli,81B#81B R1,JAWA-BAGIAN TENGAH
101,82,pli,82,JAWA-NORTH COAST
102,83,pli,83R5#83R4#83R3#83R2#83R1,BAWEAN HARBOUR#PULAU BAWEAN#PULAU KARAMIAN#PULAU MASALEMBO AND PULAU MASAKAMBING#PULAU-PULAU KARIMUNJAWA
103,84,pli,84,JAWA-NORTH COAST
104,84A,pli,84A,ALUR PELAYARAN BARAT SURABAYA
105,84B,pli,84B,JAWA-PANTAI UTARA
106,84C,pli,84C,JAWA-PANTAI UTARA
107,84D,pli,84D,JAWA-PANTAI UTARA
108,85,pli,85,JAKARTA
109,85A,pli,85A,INDONESIA. JAKARTA. PELABUHAN TANJUNG PRIOK
110,86,pli,86,JAWA-NORTH COAST
111,86A,pli,86A,JAWA-NORTH COAST
112,86B,pli,86B,JAWA-NORTH COAST
113,86C,pli,86C,JAWA PANTAI UTARA
114,87,pli,87,KANGEAN ISLANDS
115,88,pli,88R5#88R5 AREA1#88R5 AREA2#88R1#88R2#88R3#88R4,JAWA-NORTH COAST
116,88A,pli,88A,JAWA-PANTAI UTARA
117,89,pli,89R4#89R1#89R3#89R2,BAWEAN-PANTAI SELATAN
118,90,pli,90R7#90R1#90R2#90R3#90R5#90R4#90R6#90R8,BALI-PANTAI BARAT
119,91,pli,91R1#91,TANJUNGMAS PORT#JAWA-NORTH COAST
120,92,pli,92,MADURA-SOUTH COAST
121,93,pli,93,JAWA-PANTAI SELATAN
122,94,pli,94R1#94,KALIANDA HARBOUR#SUMATERA-SOUTH COAST
123,95,pli,95R8#95R5#95R4#95R1#95R2#95R3#95R6#95R7,JAWA-WEST COAST
124,95A,pli,95A#95A R1,JAWA-WEST COAST
125,96,pli,96,JAWA-NORTH COAST
126,96A,pli,96A,JAWA-NORTH COAST
127,97,pli,97R1#97,PELABUHAN SEMEN TUBAN#JAWA-PANTAI UTARA
128,97A,pli,97A,JAWA-PANTAI UTARA
129,98,pli,98,JAWA-NORTH COAST
130,99,pli,99R4#99R1#99R3#99R2,PELABUHAN PAGERUNGAN#KANGEAN-PANTAI BARAT
131,100,pli,100,SUMATERA-PANTAI BARAT DAN PANTAI UTARA
132,101,pli,101,SUMATERA-PANTAI TIMU
133,102,pli,102,SUMATERA-PANTAI TIMUR
134,103,pli,103,SUMATERA-EAST COAST
135,104,pli,104,SUMATERA-PANTAI TIMUR
136,105,pli,105,PULAU-PULAU RIAU
137,106,pli,106R1#106R2#106,PELABUHAN BATAM CENTRE#SUNGAI NONGSA#PULAU-PULAU RIAU
138,107,pli,107R1#107,LANGGARA PORT#SULAWESI EAST COAST
139,108,pli,108,JAWA-SOUTH COAST
140,108A,pli,108A R1#108A,PELABUHAN PLTU CILACAP#JAWA-PANTAI SELATAN
141,109,pli,109R5#109R8#109R1#109R10#109R11#109R12#109R13#109R2#109R3#109R4#109R6#109R7#109R9,PELABUHAN PELABUHANRATU#TELUK GENTENG BARAT#TELUK CILETUH#TELUK PACITAN#TELUK PRIGI#TELUK GRAJAGAN#JAWA-PANTAI TIMUR
142,109A,pli,109A,JAWA-PANTAI SELATAN
143,110,pli,110R1#110R2#110R3#110R4#110R5#110R6#110R7#110R8#110R9,TEMPAT BERLABUH SEKITAR TAMPENANBALE#TEMPAT BERLABUH SEKITAR LABUHANBLANDA#TEMPAT BERLABUH SEKITAR LOBA#SELAT BUTON
144,111,pli,111,NUSA TENGGARA AND FLORES SEA
145,112,pli,112,NUSATENGGARA
146,113,pli,113,NUSATENGGARA
147,114,pli,114,NUSATENGGARA
148,115,pli,115,NUSATENGGARA
149,116,pli,116,NUSATENGGARA
150,117,pli,117,NUSATENGGARA
151,118,pli,118,SULAWESI-NORTHWEST COAST
152,119,pli,119R1#119,SULAWESI-WEST COAST
153,121,pli,121,MAKASSAR STRAIT
154,122,pli,122,KALIMANTAN-SOUTHEAST COAST
155,123,pli,123,SELAT MAKASSAR
156,124,pli,124,SULAWESI-WEST COAST
157,125,pli,125,MAKASSAR STRAIT
158,125A,pli,125A R2#125A#125A R1,KALIMANTAN-PANTAI TIMUR
159,126,pli,126,KALIMANTAN-NORTH COAST
160,127,pli,127,MAKASSAR STRAIT CENTRAL PORTION
161,128,pli,128,SELAT MAKASSAR
162,129,pli,129#129R2#129R1,PANTAI TENGGARA KALIMANTAN
163,129A,pli,129A R1#129A,PULAU LAUT BAGIAN UTARA
164,129B,pli,129B R1#129B,KALIMANTAN-EAST COAST
165,130,pli,130R1#130,TEMPADUNG PASSAGE#SELAT MAKASSAR
166,131,pli,131,SULAWESI-PANTAI TIMUR
167,132,pli,132,KALIMANTAN-PANTAI TIMUR
168,133,pli,133R1#133R2#133R3#133R4#133R5,MUARA SUNGAI PASIR#TELUK KLUMPANG#PULAU-PULAU LIMA#TELUK PAMUKAN#PULAU-PULAU LAUROT MATASIRI
169,134,pli,134R1#134R3#134R2,SUMATERA-PANTAI BARAT
170,135,pli,135,SUMATERA-WEST COAST
171,136,pli,136,SUMATERA-PANTAI BARAT
172,137,pli,137,SUMATERA-PANTAI BARAT
173,138,pli,138R5#138R2#138R3#138R6#138R7#138R8#138R4#138R1#138R9#138R10,TELUK BONE
174,139,pli,139,SULAWESI-WEST COAST
175,140,pli,140,SULAWESI-PANTAI TIMUR
176,141,pli,141#141R1,PANTAI BARAT SULAWESI BARAT
177,142,pli,142,EAST COAST SULAWESI AND ISLANDS VICINITY
178,143,pli,143R1#143R2#143R3#143,SELAYAR-PANTAI BARAT
179,144,pli,144#144R1,SULAWESI-PANTAI SELATAN DAN SISI BARAT TELUK BONE
180,145,pli,145,PULAU-PULAU MALUKU
181,146,pli,146,MALUKU ISLANDS SOUTHERN PORTION
182,147,pli,147,NATUNA SEA
183,148,pli,148,KALIMANTAN-WEST COAST
184,149,pli,149,KALIMANTAN-PANTAI BARAT DAN PANTAI SELATAN (SELAT KARIMATA) PULAU-PULAU KARIMATA HINGGA TANJUNG PUTING
185,150,pli,150,KALIMANTAN-SOUTH COAST
186,151,pli,151,PAPUA DAN PULAU-PULAU SEKITARNYA
187,152,pli,152R2#152R1#152,TELUK LARIKO (WAMINDA)#TELUK MEKONGGA
188,153,pli,153R1#153R2#153R3#153R4#153,ALUR PELAYARAN KE PEMANGKAT#MUARA SUNGAI SAMBAS KECIL#SUNGAI SAMBAS BESAR
189,154,pli,154R1#154#154R2#154R3,PELABUHAN PULANGPISAU#KALIMANTAN TENGAH
190,155,pli,155R1#155#155R2,PELABUHAN PALANGKARAYA#KALIMANTAN TENGAH
191,156,pli,156R2#156R4#156R3#156R1,KALIMANTAN-SOUTH COAST
192,157,pli,157,MAKASSAR STRAIT
193,158,pli,158,MAKASSAR STRAIT
194,159,pli,159R1#159R3#159R2#159R5#159R4#159R6#159R7#159,LOAKULU SEBULU#SUNGAI BAGUSAN (NORTH PART)#PULAU SUNGAIKELAMBU#MUARA BAYUR
195,160,pli,160R5#160R1#160R2#160R3#160R4,PELABUHAN PLAJU DAN SUNGAIGERONG#SUMATERA-PANTAI TIMUR
196,160A-I,pli,160A L1,SUMATERA-PANTAI TIMUR
197,160A-II,pli,160A L2R1#160A L2,SUMATERA-PANTAI TIMUR
198,160A-III,pli,160A L3R1#160A L3#160A L3R2,SUNGAI AIRTELUKTENGGULANG#SUMATERA-PANTAI TIMUR
199,160A-IV,pli,160A-IV,INDONESIA. SUMATERA-EAST COAST. AIR TELUK TENGGULANG RIVER.SHEET IV
200,160B,pli,,INDONESIA SUMATERA - EAST COAST SUNGAI MUSI ENTRANCE TO LEMATANG
201,161,pli,161R1#161R2,SUNGAI GERONG HINGGA PALEMBANG#KERTAPATI HINGGA SUNGAI PUTAT
202,162,pli,162R1#162R2#162R3#162R4#162R5#162,NUHUYUT
203,163,pli,163,SUMATERA-WEST COAST
204,164,pli,164,SUMATERA-PANTAI BARAT
205,165,pli,165,SUMATERA-PANTAI BARAT
206,166,pli,166,SUMATERA-PANTAI BARAT
207,167,pli,167,SUMATERA-PANTAI BARAT
208,168,pli,168R2#168R1,PELABUHAN SINABANG#SUMATERA-PANTAI BARAT
209,170,pli,170,SELAT SUNDA-MERAK TO BAKAUHENI
210,171,pli,171R3#171R4#171R1#171R2,MUARA SUALANG#BENOABARU HARBOUR#TELUK LOMBOK#TELUK SANGKULIRANG
211,172,pli,172,SUMATERA-PANTAI TIMUR
212,173,pli,173R1#173,TELUK PAREPARE#SULAWESI-WEST COAST
213,174,pli,174R1#174R2#174R3#174R6#174R4#174R5#174R7,KALUKALUKUANG ISLAND#BERTHS AREA
214,175,pli,175R8#175R13#175R1#175R2#175R3#175R4#175R5#175R7#175R9#175R10#175R11#175R6#175R12,WANI HARBOUR AND PANTOLOAN HARBOUR#LOLIODI HARBOUR#SUNGAI KARAMA#TELUK KAPAS#KOROSA HARBOUR#HARBOUR NEAR THE ESTUARY
215,176,pli,176#176R2#176R3#176R5#176R4#176R1,SULAWESI-WEST COAST
216,177,pli,177R2#177R4#177R5#177R6#177R7#177R8#177R1#177R3,NIAS-PANTAI UTARA
217,178,pli,178R2#178R3#178R1,TELUK AFULU#PELABUHAN SIROMBU#PULAU-PULAU HINAKO
218,179,pli,179R6#179R1#179R2#179R3#179R4#179R5,SIBOLGA HARBOUR#SINGKIL HARBOUR#TAPUS HARBOUR#BARUS HARBOUR#TABUYUNG HARBOUR#TELUK SIBOLGA
